"Time","Vhcl.Steer.Ang"
"F1","F1"
"s","rad"
439,-0.02097257972
439.5,-0.02087873407
440,-0.02054470405
440.5,-0.01998391747
441,-0.01915866882
441.5,-0.01811541989
442,-0.01694312878
442.5,-0.01566864364
443,-0.01430633385
443.5,-0.01208548155
444,-0.007201530039
444.5,-0.006012594327
445,-0.008010081016
445.5,-0.01131288428
446,-0.02291226573
446.5,-0.02299224585
447,0.005305636209
447.5,0.004969632253
448,-0.01626285538
448.5,-0.02685883641
449,-0.0414850004
449.5,-0.05760497972
450,-0.0693076551
450.5,-0.07907676697
451,-0.0894960314
451.5,-0.09713814408
452,-0.09827275574
452.5,-0.0980418697
453,-0.09498738497
453.5,-0.08805586398
454,-0.0807890892
454.5,-0.07407513261
455,-0.06570267677
455.5,-0.05524200574
456,-0.04425356537
456.5,-0.03056911565
457,-0.01758861914
457.5,-0.008635815233
458,-0.0005325427628
458.5,0.01071091089
459,0.02118767612
459.5,0.03011862375
460,0.03643076494
460.5,0.04131368548
461,0.04179420695
461.5,0.04211860523
462,0.04274231941
462.5,0.04354960471
463,0.04148605838
463.5,0.03974651545
464,0.04035969824
464.5,0.04060370103
465,0.03801749274
465.5,0.03744537383
466,0.03623818606
466.5,0.03736991435
467,0.03727192804
467.5,0.03677011654
468,0.03736880049
468.5,0.03600446507
469,0.03400379419
469.5,0.03156737983
470,0.03078991547
470.5,0.0308411587
471,0.03011769801
471.5,0.02854612842
472,0.02847069129
472.5,0.02785256319
473,0.02637195028
473.5,0.02592155896
474,0.02502185479
474.5,0.02220082097
475,0.02140308917
475.5,0.02175858431
476,0.01979349926
476.5,0.01825005747
477,0.01831499301
477.5,0.0177274812
478,0.01617094874
478.5,0.01585351862
479,0.01721110195
479.5,0.01879238524
480,0.01765966602
480.5,0.01569524966
481,0.01506998483
481.5,0.01615149155
482,0.01577662863
482.5,0.01558081247
483,0.01603256539
483.5,0.01563463919
484,0.01586331427
484.5,0.0162297599
485,0.01578774117
485.5,0.01592531428
486,0.01588240825
486.5,0.01480499376
487,0.01493740734
487.5,0.01508150902
488,0.01476852875
488.5,0.015409871
489,0.01668481715
489.5,0.01640801691
490,0.0154908374
490.5,0.01543325186
491,0.01550641283
491.5,0.01608960517
492,0.01593486965
492.5,0.01513979305
493,0.0148185743
493.5,0.01554509718
494,0.01577933691
494.5,0.01639544591
495,0.01551831141
495.5,0.01551512256
496,0.0150414044
496.5,0.01519627217
497,0.01607097499
497.5,0.01850817353
498,0.01822278835
498.5,0.01679836027
499,0.01669231802
499.5,0.01729112491
